Date,Sales
01/01/1972,698
01/02/1972,711
01/03/1972,640
01/04/1972,684
01/05/1972,677
01/06/1972,687
01/07/1972,681
01/08/1972,773
01/09/1972,767
01/10/1972,843
01/11/1972,735
01/12/1972,772
01/01/1973,781
01/02/1973,737
01/03/1973,725
01/04/1973,661
01/05/1973,660
01/06/1973,650
01/07/1973,601
01/08/1973,566
01/09/1973,561
01/10/1973,565
01/11/1973,547
01/12/1973,519
01/01/1974,523
01/02/1974,539
01/03/1974,572
01/04/1974,544
01/05/1974,590
01/06/1974,534
01/07/1974,534
01/08/1974,492
01/09/1974,511
01/10/1974,448
01/11/1974,450
01/12/1974,417
01/01/1975,416
01/02/1975,422
01/03/1975,477
01/04/1975,543
01/05/1975,579
01/06/1975,557
01/07/1975,569
01/08/1975,566
01/09/1975,556
01/10/1975,609
01/11/1975,680
01/12/1975,669
01/01/1976,603
01/02/1976,644
01/03/1976,591
01/04/1976,611
01/05/1976,570
01/06/1976,591
01/07/1976,664
01/08/1976,648
01/09/1976,696
01/10/1976,708
01/11/1976,735
01/12/1976,767
01/01/1977,825
01/02/1977,839
01/03/1977,872
01/04/1977,799
01/05/1977,807
01/06/1977,805
01/07/1977,755
01/08/1977,808
01/09/1977,842
01/10/1977,819
01/11/1977,829
01/12/1977,835
01/01/1978,795
01/02/1978,791
01/03/1978,814
01/04/1978,864
01/05/1978,857
01/06/1978,834
01/07/1978,789
01/08/1978,756
01/09/1978,812
01/10/1978,872
01/11/1978,798
01/12/1978,805
01/01/1979,754
01/02/1979,723
01/03/1979,793
01/04/1979,748
01/05/1979,727
01/06/1979,700
01/07/1979,715
01/08/1979,729
01/09/1979,727
01/10/1979,670
01/11/1979,597
01/12/1979,559
01/01/1980,592
01/02/1980,541
01/03/1980,474
01/04/1980,370
01/05/1980,469
01/06/1980,552
01/07/1980,636
01/08/1980,659
01/09/1980,596
01/10/1980,561
01/11/1980,562
01/12/1980,532
01/01/1981,511
01/02/1981,510
01/03/1981,514
01/04/1981,470
01/05/1981,467
01/06/1981,415
01/07/1981,431
01/08/1981,378
01/09/1981,338
01/10/1981,356
01/11/1981,382
01/12/1981,457
01/01/1982,368
01/02/1982,365
01/03/1982,374
01/04/1982,339
01/05/1982,384
01/06/1982,370
01/07/1982,375
01/08/1982,407
01/09/1982,481
01/10/1982,480
01/11/1982,554
01/12/1982,521
01/01/1983,582
01/02/1983,562
01/03/1983,596
01/04/1983,638
01/05/1983,664
01/06/1983,651
01/07/1983,606
01/08/1983,572
01/09/1983,608
01/10/1983,632
01/11/1983,644
01/12/1983,773
01/01/1984,691
01/02/1984,696
01/03/1984,641
01/04/1984,639
01/05/1984,615
01/06/1984,630
01/07/1984,619
01/08/1984,567
01/09/1984,662
01/10/1984,687
01/11/1984,597
01/12/1984,597
01/01/1985,645
01/02/1985,682
01/03/1985,671
01/04/1985,620
01/05/1985,678
01/06/1985,722
01/07/1985,766
01/08/1985,726
01/09/1985,678
01/10/1985,655
01/11/1985,733
01/12/1985,721
01/01/1986,733
01/02/1986,728
01/03/1986,880
01/04/1986,857
01/05/1986,789
01/06/1986,728
01/07/1986,698
01/08/1986,621
01/09/1986,763
01/10/1986,669
01/11/1986,707
01/12/1986,784
01/01/1987,709
01/02/1987,732
01/03/1987,713
01/04/1987,735
01/05/1987,651
01/06/1987,637
01/07/1987,658
01/08/1987,657
01/09/1987,666
01/10/1987,650
01/11/1987,625
01/12/1987,595
01/01/1988,585
01/02/1988,663
01/03/1988,669
01/04/1988,699
01/05/1988,684
01/06/1988,717
01/07/1988,679
01/08/1988,688
01/09/1988,703
01/10/1988,718
01/11/1988,628
01/12/1988,658
01/01/1989,719
01/02/1989,622
01/03/1989,567
01/04/1989,608
01/05/1989,656
01/06/1989,642
01/07/1989,731
01/08/1989,697
01/09/1989,639
01/10/1989,645
01/11/1989,684
01/12/1989,630
01/01/1990,620
01/02/1990,591
01/03/1990,574
01/04/1990,542
01/05/1990,534
01/06/1990,545
01/07/1990,542
01/08/1990,528
01/09/1990,496
01/10/1990,465
01/11/1990,493
01/12/1990,464
01/01/1991,401
01/02/1991,482
01/03/1991,507
01/04/1991,508
01/05/1991,517
01/06/1991,516
01/07/1991,511
01/08/1991,526
01/09/1991,487
01/10/1991,524
01/11/1991,575
01/12/1991,558
01/01/1992,676
01/02/1992,639
01/03/1992,553
01/04/1992,546
01/05/1992,554
01/06/1992,596
01/07/1992,627
01/08/1992,636
01/09/1992,650
01/10/1992,621
01/11/1992,614
01/12/1992,650
01/01/1993,596
01/02/1993,604
01/03/1993,602
01/04/1993,701
01/05/1993,626
01/06/1993,653
01/07/1993,655
01/08/1993,645
01/09/1993,726
01/10/1993,704
01/11/1993,769
01/12/1993,812
01/01/1994,619
01/02/1994,686
01/03/1994,747
01/04/1994,692
01/05/1994,691
01/06/1994,621
01/07/1994,628
01/08/1994,656
01/09/1994,677
01/10/1994,715
01/11/1994,646
01/12/1994,629
01/01/1995,626
01/02/1995,559
01/03/1995,616
01/04/1995,621
01/05/1995,674
01/06/1995,725
01/07/1995,765
01/08/1995,701
01/09/1995,678
01/10/1995,696
01/11/1995,664
01/12/1995,709
01/01/1996,714
01/02/1996,769
01/03/1996,721
01/04/1996,736
01/05/1996,746
01/06/1996,721
01/07/1996,770
01/08/1996,826
01/09/1996,770
01/10/1996,720
01/11/1996,771
01/12/1996,805
01/01/1997,830
01/02/1997,801
01/03/1997,831
01/04/1997,744
01/05/1997,760
01/06/1997,793
01/07/1997,805
01/08/1997,815
01/09/1997,840
01/10/1997,800
01/11/1997,864
01/12/1997,793
01/01/1998,872
