Date,value
01/01/1981,76378
01/02/1981,71947
01/03/1981,33873
01/04/1981,96428
01/05/1981,105084
01/06/1981,95741
01/07/1981,110647
01/08/1981,100331
01/09/1981,94133
01/10/1981,103055
01/11/1981,90595
01/12/1981,101457
01/01/1982,76889
01/02/1982,81291
01/03/1982,91643
01/04/1982,96228
01/05/1982,102736
01/06/1982,100264
01/07/1982,103491
01/08/1982,97027
01/09/1982,95240
01/10/1982,91680
01/11/1982,101259
01/12/1982,109564
01/01/1983,76892
01/02/1983,85773
01/03/1983,95210
01/04/1983,93771
01/05/1983,98202
01/06/1983,97906
01/07/1983,100306
01/08/1983,94089
01/09/1983,102680
01/10/1983,77919
01/11/1983,93561
01/12/1983,117062
01/01/1984,81225
01/02/1984,88357
01/03/1984,106175
01/04/1984,91922
01/05/1984,104114
01/06/1984,109959
01/07/1984,97880
01/08/1984,105386
01/09/1984,96479
01/10/1984,97580
01/11/1984,109490
01/12/1984,110191
01/01/1985,90974
01/02/1985,98981
01/03/1985,107188
01/04/1985,94177
01/05/1985,115097
01/06/1985,113696
01/07/1985,114532
01/08/1985,120110
01/09/1985,93607
01/10/1985,110925
01/11/1985,103312
01/12/1985,120184
01/01/1986,103069
01/02/1986,103351
01/03/1986,111331
01/04/1986,106161
01/05/1986,111590
01/06/1986,99447
01/07/1986,101987
01/08/1986,85333
01/09/1986,86970
01/10/1986,100561
01/11/1986,89543
01/12/1986,89265
01/01/1987,82719
01/02/1987,79498
01/03/1987,74846
01/04/1987,73819
01/05/1987,77029
01/06/1987,78446
01/07/1987,86978
01/08/1987,75878
01/09/1987,69571
01/10/1987,75722
01/11/1987,64182
01/12/1987,77357
01/01/1988,63292
01/02/1988,59380
01/03/1988,78332
01/04/1988,72381
01/05/1988,55971
01/06/1988,69750
01/07/1988,85472
01/08/1988,70133
01/09/1988,79125
01/10/1988,85805
01/11/1988,81778
01/12/1988,86852
01/01/1989,69069
01/02/1989,79556
01/03/1989,88174
01/04/1989,66698
01/05/1989,72258
01/06/1989,73445
01/07/1989,76131
01/08/1989,86082
01/09/1989,75443
01/10/1989,73969
01/11/1989,78139
01/12/1989,78646
01/01/1990,66269
01/02/1990,73776
01/03/1990,80034
01/04/1990,70694
01/05/1990,81823
01/06/1990,75640
01/07/1990,75540
01/08/1990,82229
01/09/1990,75345
01/10/1990,77034
01/11/1990,78589
01/12/1990,79769
01/01/1991,75982
01/02/1991,78074
01/03/1991,77588
01/04/1991,84100
01/05/1991,97966
01/06/1991,89051
01/07/1991,93503
01/08/1991,84747
01/09/1991,74531
01/10/1991,91900
01/11/1991,81635
01/12/1991,89797
01/01/1992,81022
01/02/1992,78265
01/03/1992,77271
01/04/1992,85043
01/05/1992,95418
01/06/1992,79568
01/07/1992,103283
01/08/1992,95770
01/09/1992,91297
01/10/1992,101244
01/11/1992,114525
01/12/1992,101139
01/01/1993,93866
01/02/1993,95171
01/03/1993,100183
01/04/1993,103926
01/05/1993,102643
01/06/1993,108387
01/07/1993,97077
01/08/1993,90901
01/09/1993,90336
01/10/1993,88732
01/11/1993,83759
01/12/1993,99267
01/01/1994,73292
01/02/1994,78943
01/03/1994,94399
01/04/1994,92937
01/05/1994,90130
01/06/1994,91055
01/07/1994,106062
01/08/1994,103560
01/09/1994,104075
01/10/1994,101783
01/11/1994,93791
01/12/1994,102313
01/01/1995,82413
01/02/1995,83534
01/03/1995,109011
01/04/1995,96499
01/05/1995,102430
01/06/1995,103002
01/07/1995,91815
01/08/1995,99067
01/09/1995,110067
01/10/1995,101599
01/11/1995,97646
01/12/1995,104930
01/01/1996,88905
01/02/1996,89936
01/03/1996,106723
01/04/1996,84307
01/05/1996,114896
01/06/1996,106749
01/07/1996,87892
01/08/1996,100506
