Date,value
01/01/1956,3.923
01/04/1956,4.436
01/07/1956,4.806
01/10/1956,4.418
01/01/1957,4.339
01/04/1957,4.811
01/07/1957,5.259
01/10/1957,4.735
01/01/1958,4.608
01/04/1958,5.196
01/07/1958,5.609
01/10/1958,4.977
01/01/1959,4.883
01/04/1959,5.744
01/07/1959,6.035
01/10/1959,5.514
01/01/1960,5.387
01/04/1960,6.211
01/07/1960,6.659
01/10/1960,5.983
01/01/1961,5.709
01/04/1961,6.458
01/07/1961,6.875
01/10/1961,6.162
01/01/1962,6.098
01/04/1962,7.075
01/07/1962,7.595
01/10/1962,6.891
01/01/1963,6.707
01/04/1963,7.874
01/07/1963,8.555
01/10/1963,7.503
01/01/1964,7.469
01/04/1964,8.829
01/07/1964,9.513
01/10/1964,8.415
01/01/1965,8.17
01/04/1965,9.503
01/07/1965,10.306
01/10/1965,9.077
01/01/1966,8.65
01/04/1966,10.18
01/07/1966,11.234
01/10/1966,9.836
01/01/1967,9.49
01/04/1967,10.991
01/07/1967,12.17
01/10/1967,10.47
01/01/1968,10.087
01/04/1968,11.858
01/07/1968,13.198
01/10/1968,11.413
01/01/1969,11.136
01/04/1969,13.04
01/07/1969,14.248
01/10/1969,12.759
01/01/1970,12.328
01/04/1970,14.493
01/07/1970,15.664
01/10/1970,13.781
01/01/1971,13.299
01/04/1971,15.23
01/07/1971,16.667
01/10/1971,14.484
01/01/1972,13.838
01/04/1972,15.919
01/07/1972,17.149
01/10/1972,15.564
01/01/1973,15.024
01/04/1973,17.064
01/07/1973,18.512
01/10/1973,16.467
01/01/1974,16.249
01/04/1974,18.515
01/07/1974,20.377
01/10/1974,17.681
01/01/1975,16.692
01/04/1975,19.184
01/07/1975,20.078
01/10/1975,18.26
01/01/1976,18.023
01/04/1976,20.234
01/07/1976,22.272
01/10/1976,19.684
01/01/1977,19.031
01/04/1977,21.545
01/07/1977,23.27
01/10/1977,20.107
01/01/1978,20.084
01/04/1978,22.634
01/07/1978,24.494
01/10/1978,21.396
01/01/1979,21.323
01/04/1979,23.644
01/07/1979,25.994
01/10/1979,22.802
01/01/1980,22.604
01/04/1980,24.51
01/07/1980,26.69
01/10/1980,24.132
01/01/1981,23.639
01/04/1981,26.32
01/07/1981,28.345
01/10/1981,24.89
01/01/1982,24.675
01/04/1982,27.122
01/07/1982,28.59
01/10/1982,25.371
01/01/1983,24.687
01/04/1983,27.285
01/07/1983,29.29
01/10/1983,26.684
01/01/1984,26.641
01/04/1984,29.042
01/07/1984,31.856
01/10/1984,28.343
01/01/1985,28.982
01/04/1985,30.838
01/07/1985,33.165
01/10/1985,29.648
01/01/1986,29.506
01/04/1986,32.002
01/07/1986,34.375
01/10/1986,31.046
01/01/1987,31.015
01/04/1987,33.685
01/07/1987,35.85
01/10/1987,33.211
01/01/1988,33.142
01/04/1988,34.664
01/07/1988,37.154
01/10/1988,35.303
01/01/1989,36.905
01/04/1989,37.333
01/07/1989,40.413
01/10/1989,36.579
01/01/1990,37.016
01/04/1990,39.103
01/07/1990,41.067
01/10/1990,37.653
01/01/1991,37.554
01/04/1991,38.752
01/07/1991,41.424
01/10/1991,38.101
01/01/1992,38.332
01/04/1992,39.774
01/07/1992,42.246
01/10/1992,38.498
01/01/1993,39.46
01/04/1993,41.356
01/07/1993,42.949
01/10/1993,40.974
01/01/1994,40.162
01/04/1994,41.199
01/07/1994,44.095
01/10/1994,41.745
01/01/1995,41.768
01/04/1995,43.686
01/07/1995,46.022
01/10/1995,42.8
01/01/1996,43.661
01/04/1996,44.707
01/07/1996,46.326
01/10/1996,43.346
01/01/1997,43.938
01/04/1997,45.828
01/07/1997,48.448
01/10/1997,46.096
01/01/1998,46.198
01/04/1998,47.237
01/07/1998,49.041
01/10/1998,46.192
01/01/1999,48.089
01/04/1999,48.227
01/07/1999,49.784
01/10/1999,47.588
01/01/2000,49.32
01/04/2000,50.67
01/07/2000,52.623
01/10/2000,49.35
01/01/2001,51.658
01/04/2001,51.103
01/07/2001,52.226
01/10/2001,50.778
01/01/2002,50.639
01/04/2002,51.486
01/07/2002,53.299
01/10/2002,51.646
01/01/2003,51.415
01/04/2003,51.379
01/07/2003,54.808
01/10/2003,52.453
01/01/2004,54.561
01/04/2004,54.644
01/07/2004,55.915
01/10/2004,52.85
01/01/2005,55.035
01/04/2005,55.117
01/07/2005,56.043
01/10/2005,54.992
01/01/2006,57.112
01/04/2006,57.157
01/07/2006,58.4
01/10/2006,56.249
01/01/2007,56.244
01/04/2007,55.036
01/07/2007,59.806
01/10/2007,56.411
01/01/2008,59.118
01/04/2008,56.66
01/07/2008,64.067
01/10/2008,59.045
01/01/2009,58.368
01/04/2009,57.471
01/07/2009,58.394
01/10/2009,57.336
01/01/2010,58.309
01/04/2010,58.041
