Date,value
01/01/1961,347
01/02/1961,348
01/03/1961,365
01/04/1961,300
01/05/1961,311
01/06/1961,353
01/07/1961,379
01/08/1961,387
01/09/1961,406
01/10/1961,354
01/11/1961,347
01/12/1961,262
01/01/1962,342
01/02/1962,331
01/03/1962,332
01/04/1962,350
01/05/1962,299
01/06/1962,277
01/07/1962,312
01/08/1962,308
01/09/1962,291
01/10/1962,303
01/11/1962,335
01/12/1962,334
01/01/1963,354
01/02/1963,375
01/03/1963,359
01/04/1963,334
01/05/1963,418
01/06/1963,391
01/07/1963,407
01/08/1963,335
01/09/1963,403
01/10/1963,414
01/11/1963,398
01/12/1963,371
01/01/1964,374
01/02/1964,374
01/03/1964,366
01/04/1964,369
01/05/1964,398
01/06/1964,398
01/07/1964,343
01/08/1964,385
01/09/1964,392
01/10/1964,422
01/11/1964,349
01/12/1964,471
01/01/1965,432
01/02/1965,444
01/03/1965,432
01/04/1965,436
01/05/1965,375
01/06/1965,381
01/07/1965,360
01/08/1965,338
01/09/1965,440
01/10/1965,380
01/11/1965,393
01/12/1965,396
01/01/1966,396
01/02/1966,364
01/03/1966,388
01/04/1966,414
01/05/1966,420
01/06/1966,419
01/07/1966,428
01/08/1966,423
01/09/1966,399
01/10/1966,397
01/11/1966,384
01/12/1966,372
01/01/1967,374
01/02/1967,410
01/03/1967,347
01/04/1967,339
01/05/1967,355
01/06/1967,379
01/07/1967,409
01/08/1967,414
01/09/1967,394
01/10/1967,423
01/11/1967,412
01/12/1967,410
01/01/1968,356
01/02/1968,417
01/03/1968,399
01/04/1968,386
01/05/1968,428
01/06/1968,444
01/07/1968,474
01/08/1968,397
01/09/1968,400
01/10/1968,379
01/11/1968,393
01/12/1968,406
01/01/1969,365
01/02/1969,383
01/03/1969,391
01/04/1969,406
01/05/1969,422
01/06/1969,422
01/07/1969,417
01/08/1969,427
01/09/1969,429
01/10/1969,463
01/11/1969,389
01/12/1969,413
01/01/1970,489
01/02/1970,447
01/03/1970,461
01/04/1970,489
01/05/1970,449
01/06/1970,487
01/07/1970,459
01/08/1970,522
01/09/1970,538
01/10/1970,560
01/11/1970,622
01/12/1970,567
01/01/1971,554
01/02/1971,543
01/03/1971,577
01/04/1971,547
01/05/1971,552
01/06/1971,557
01/07/1971,623
01/08/1971,570
01/09/1971,578
01/10/1971,560
01/11/1971,599
01/12/1971,576
01/01/1972,588
01/02/1972,593
01/03/1972,602
01/04/1972,613
01/05/1972,523
01/06/1972,621
01/07/1972,637
01/08/1972,627
01/09/1972,605
01/10/1972,599
01/11/1972,585
01/12/1972,588
01/01/1973,507
01/02/1973,623
01/03/1973,567
01/04/1973,624
01/05/1973,585
01/06/1973,572
01/07/1973,566
01/08/1973,545
01/09/1973,604
01/10/1973,586
01/11/1973,613
01/12/1973,606
01/01/1974,612
01/02/1974,620
01/03/1974,620
01/04/1974,560
01/05/1974,640
01/06/1974,682
01/07/1974,744
01/08/1974,596
01/09/1974,698
01/10/1974,737
01/11/1974,738
01/12/1974,739
01/01/1975,797
01/02/1975,765
01/03/1975,809
01/04/1975,758
01/05/1975,850
01/06/1975,777
01/07/1975,810
01/08/1975,832
01/09/1975,802
01/10/1975,811
01/11/1975,775
01/12/1975,837
01/01/1976,773
01/02/1976,790
01/03/1976,781
01/04/1976,774
01/05/1976,741
01/06/1976,776
01/07/1976,767
01/08/1976,876
01/09/1976,753
01/10/1976,765
01/11/1976,779
01/12/1976,787
01/01/1977,833
01/02/1977,793
01/03/1977,818
01/04/1977,808
01/05/1977,774
01/06/1977,842
01/07/1977,770
01/08/1977,768
01/09/1977,804
01/10/1977,780
01/11/1977,790
01/12/1977,690
01/01/1978,777
01/02/1978,773
01/03/1978,780
01/04/1978,756
